Profit,Trades,Profit Factor,Expected Payoff,DD %,LAP0100,BrkOutPip0100,ChanFactor0100,AnalysisMin0100,HourEnd0100
90.93,59,9.28,1.54,0.0488,140,20,20,1320,11
90.93,59,9.28,1.54,0.0488,140,20,20,1320,10
90.93,59,9.28,1.54,0.0488,140,20,20,1320,9
90.93,59,9.28,1.54,0.0488,140,20,20,1320,8
89.39,60,8.14,1.49,0.0488,140,20,20,1320,12
82.23,66,7.91,1.25,0.0488,80,80,20,720,8
82.23,66,7.91,1.25,0.0488,80,40,40,720,9
82.23,66,7.91,1.25,0.0488,80,40,40,720,8
82.23,66,7.91,1.25,0.0488,80,80,20,720,9
80.13,59,8.65,1.36,0.0488,140,40,20,1320,10
80.13,59,8.65,1.36,0.0488,140,20,40,1320,11
80.13,59,8.65,1.36,0.0488,140,20,40,1320,10
80.13,59,8.65,1.36,0.0488,140,40,20,1320,9
80.13,59,8.65,1.36,0.0488,140,20,40,1320,9
80.13,59,8.65,1.36,0.0488,140,40,20,1320,11
80.13,59,8.65,1.36,0.0488,140,40,20,1320,8
80.13,59,8.65,1.36,0.0488,140,20,40,1320,8
79.93,59,8.28,1.35,0.0488,140,20,20,1260,11
79.93,59,8.28,1.35,0.0488,140,20,20,1260,10
79.93,59,8.28,1.35,0.0488,140,20,20,1260,8
79.93,59,8.28,1.35,0.0488,140,20,20,1260,9
79.77,67,7.2,1.19,0.0488,80,40,40,720,10
79.77,67,7.2,1.19,0.0488,80,80,20,720,10
79.03,60,7.82,1.32,0.0488,140,40,20,1320,12
79.03,60,7.82,1.32,0.0488,140,20,40,1320,12
78.33,64,8.4,1.22,0.0488,80,40,40,720,6
78.32,60,7.22,1.31,0.0488,140,20,20,1260,12
77.23,61,6.77,1.27,0.0488,140,20,40,1320,14
77.23,61,6.77,1.27,0.0488,140,40,20,1320,13
77.23,61,6.77,1.27,0.0488,140,40,20,1320,14
77.23,61,6.77,1.27,0.0488,140,20,40,1320,13
76.5,66,6.32,1.16,0.0488,80,60,20,720,9
76.5,66,6.32,1.16,0.0488,80,60,20,720,8
75.23,59,7.85,1.28,0.0488,140,20,20,960,10
75.23,59,7.85,1.28,0.0488,140,20,20,1140,11
75.23,59,7.85,1.28,0.0488,140,20,20,1140,9
75.23,59,7.85,1.28,0.0488,140,20,20,1140,8
75.23,59,7.85,1.28,0.0488,140,20,20,1140,10
75.23,59,7.85,1.28,0.0488,140,20,20,1020,10
75.23,59,7.85,1.28,0.0488,140,20,20,960,8
75.23,59,7.85,1.28,0.0488,140,20,20,1200,10
75.23,59,7.85,1.28,0.0488,140,20,20,1020,9
75.23,59,7.85,1.28,0.0488,140,20,20,1020,8
75.23,59,7.85,1.28,0.0488,140,20,20,1200,8
75.23,59,7.85,1.28,0.0488,140,20,20,1200,9
75.23,59,7.85,1.28,0.0488,140,20,20,1200,11
74.64,67,5.87,1.11,0.0488,80,60,20,720,10
74.4,57,9.29,1.31,0.0488,140,20,20,1320,6
73.62,60,6.85,1.23,0.0488,140,20,20,1200,12
72.19,61,6.15,1.18,0.0488,140,20,20,1200,13
71.91,63,7.37,1.14,0.0488,80,100,20,1140,8
71.46,57,8.96,1.25,0.0488,140,20,20,720,6
71.4,80,3.72,0.89,0.0488,20,140,20,1020,8
71.38,63,6.81,1.13,0.0488,80,40,40,1200,8
71.38,63,6.81,1.13,0.0488,80,40,40,1140,8
71.38,63,6.81,1.13,0.0488,80,80,20,1200,8
71.33,59,7.81,1.21,0.0488,140,40,20,1260,9
71.33,59,7.81,1.21,0.0488,140,20,40,1260,11
71.33,59,7.81,1.21,0.0488,140,40,20,1260,8
71.33,59,7.81,1.21,0.0488,140,20,40,1260,8
71.33,59,7.81,1.21,0.0488,140,20,40,1260,10
71.33,59,7.81,1.21,0.0488,140,20,40,1260,9
69.95,73,4.84,0.96,0.048,80,140,20,1140,13
71,64,6.29,1.11,0.0488,80,60,20,720,6
70.57,68,6.22,1.04,0.0488,80,140,20,1020,11
70.53,63,6.74,1.12,0.0488,80,80,20,1260,8
70.5,61,8.85,1.16,0.0488,80,40,40,720,5
