P/DD,TPPip,LAP1300,BrkOutPip1300,ChanFactor1300,AnalysisMin1300,HourEnd1300
927.0707070707,100,90,140,160,840,20
923.4343434343,100,90,140,160,900,20
842.1150278293,100,100,200,160,360,18
746.3986599665,100,90,140,160,660,20
809.4717668488,100,90,140,160,840,21
771.4782608696,100,90,160,160,900,20
804.7272727273,100,90,140,160,900,21
342.3374613003,100,90,140,160,840,3
342.3374613003,100,90,140,160,840,4
331.9789315275,100,90,160,200,900,6
331.9789315275,100,90,200,160,900,4
376.4756201882,100,90,140,200,900,6
443.9838220425,90,80,180,200,900,22
695.9807073955,100,90,180,160,840,20
691.974317817,100,90,180,160,900,20
483.0717488789,100,90,140,160,840,22
328.0959752322,100,90,140,160,900,3
328.0959752322,100,90,140,160,900,4
328.0959752322,100,90,140,160,900,8
328.0959752322,100,90,140,160,900,6
328.0959752322,100,90,140,160,900,5
399.7164461248,90,80,200,200,900,22
350.9136212625,100,90,180,160,900,5
350.9136212625,100,90,180,160,900,8
350.9136212625,100,90,180,160,900,4
350.9136212625,100,90,180,160,900,3
625.1488095238,100,90,200,160,840,20
622.4702380952,100,90,200,160,900,20
387.5695732839,100,90,160,160,900,4
430.9449636552,100,80,180,200,900,22
496.1584633854,100,80,180,160,900,23
811.4173228346,90,90,140,160,840,20
805.6974459725,90,90,140,160,900,20
451.6164994426,100,90,140,160,900,22
745.8410351201,90,100,200,160,360,18
595.7100591716,100,90,180,160,900,21
466.1252900232,90,80,180,160,900,22
439.2778993435,90,80,200,160,900,23
529.8546895641,100,90,180,200,900,20
479.9758745476,100,80,140,200,900,22
795.564516129,100,90,140,160,840,19
705.376344086,90,90,140,160,900,21
791.935483871,100,90,140,160,900,19
466.8653158522,100,80,180,160,900,22
380.3692905734,100,80,200,200,900,22
535.2697095436,100,80,140,160,900,22
446.9221835076,90,80,180,160,900,19
518.4636118598,90,80,140,160,900,22
526.1643835616,100,90,200,160,900,21
600.15625,90,90,180,160,900,20
441.081703107,90,80,180,160,900,21
414.6739130435,90,80,200,160,900,22
381.1623246493,100,90,160,160,900,22
316.4418212479,100,30,180,160,1380,20
600.9693053312,100,80,120,160,900,22
406.4551422319,90,80,200,160,900,19
537.3371924747,90,90,200,160,900,20
366.3699307616,90,30,180,160,1380,20
604.2414355628,100,90,140,200,900,19
466.5399239544,100,80,120,200,900,22
584.076433121,100,90,180,160,900,19
415.0622876557,100,90,140,160,600,20
454.0272614622,80,30,140,160,1380,20
406.6964285714,100,80,200,160,900,22
391.5857605178,90,80,200,160,900,21
333.9483394834,100,90,140,200,900,22
552.2205206738,80,30,120,160,1380,20
689.1013384321,80,90,140,160,900,20
330.2474793767,80,80,200,200,900,22
331.2037037037,90,100,200,160,300,18
473.3421750663,90,30,100,160,1380,20
378.0617678381,90,90,140,160,900,22
398.6501687289,90,80,180,160,900,20
314.2095914742,100,90,180,160,900,22
419.6195005945,100,80,140,160,900,23
405.6451612903,90,80,180,160,600,22
508.8534107402,100,80,120,160,900,21
393.2725199544,80,80,140,200,900,22
519.3061840121,100,80,120,160,900,23
379.822616408,70,30,140,160,1380,22
382.9021372328,80,80,180,160,900,22
391.2341407151,100,80,180,160,900,20
404.4364508393,90,80,140,160,900,20
357.0063694268,80,80,200,160,900,23
284.5500848896,90,30,140,160,1380,20
452.2267206478,90,90,200,160,900,21
423.417721519,100,80,140,160,900,20
371.1431742508,100,40,180,200,1200,16
352.0547945205,90,80,200,160,900,20
284.4444444444,90,30,200,160,1380,20
229.1925465839,100,30,140,200,1320,20
643.6046511628,100,90,140,160,900,18
244.1414885777,100,30,200,160,1380,20
268.0487804878,100,90,200,160,900,22
403.6764705882,100,90,140,200,660,22
381.7432273263,100,90,120,160,900,20
346.7309753483,100,90,140,160,900,23
417.1612903226,80,80,140,160,900,22
478.8059701493,100,90,140,160,660,18
337.6582278481,80,80,200,160,900,22
452.5495750708,100,80,120,160,900,20
554.181184669,100,80,60,200,900,22
285.3548966757,100,30,120,200,1140,19
483.5114503817,90,80,120,160,900,22
295.3314659197,100,80,120,180,660,23
340.5405405405,100,90,140,160,600,22
315.9959758551,90,30,140,200,1320,20
450,90,90,200,160,900,19
566.1844484629,90,80,100,160,900,22
359.6980255517,50,40,200,160,1200,20
588.2129277567,100,80,60,160,900,22
448.6131386861,100,100,140,160,360,18
363.4319526627,80,80,140,160,900,21
468.7595712098,100,90,180,160,900,18
562.4768946396,70,90,140,160,900,20
259.3509820666,90,90,180,160,900,22
303.9078156313,90,100,180,160,300,18
524.0484429066,100,80,120,160,900,18
311.3402061856,80,90,140,160,900,22
262.9858657244,50,40,200,160,240,20
323.7472766885,70,30,140,160,1380,20
213.8728323699,100,90,180,200,900,22
283.5907335907,100,100,200,160,420,18
300.5117707267,90,30,120,160,1380,20
412.0786516854,100,90,180,180,840,18
415.4390934844,100,90,200,160,900,18
336.8544600939,100,90,140,200,660,18
216.9324221716,100,10,180,100,1260,17
429.2609351433,100,90,180,160,960,20
217.9585571757,100,90,200,160,900,23
319.7502837684,100,90,180,160,660,18
326.3035921205,80,80,140,160,900,20
483.9655172414,70,90,140,160,900,21
235.4920100925,100,90,200,200,660,21
218.9506656226,90,90,200,160,900,22
309.4235033259,70,80,140,200,900,22
397.150997151,100,80,40,80,960,23
257.9534883721,80,90,160,160,900,22
271.4005876592,50,40,200,200,1140,20
330.193236715,100,80,200,160,900,18
331.7848410758,100,80,120,200,840,22
183.3671399594,90,30,120,200,1200,19
404.9475262369,90,90,180,160,900,18
210.141509434,100,30,120,160,1380,20
229.1595197256,80,180,200,120,60,23
196.3099630996,100,90,200,160,600,20
265.8240647118,80,40,200,200,1200,16
260.7784431138,50,40,200,200,1200,20
270.9241952233,90,80,200,160,720,22
243.738317757,70,30,160,160,1380,20
261.7469879518,100,90,180,180,660,18
482.3747680891,80,90,140,160,900,18
312.8915662651,70,80,140,160,900,22
222.4226804124,80,90,140,200,900,22
652.0202020202,100,80,180,200,660,16
652.0202020202,100,80,120,200,660,16
652.0202020202,100,80,200,200,660,16
271.2328767123,70,30,140,160,1380,19
356.3711911357,90,90,200,160,900,18
272.591006424,90,190,180,180,360,10
209.0759075908,100,80,120,200,660,22
194.8382126348,80,30,200,160,1380,20
241.4821944177,70,80,60,200,60,5
207.7050538525,80,90,180,160,900,22
336.5591397849,90,80,40,80,960,23
168.4636118598,100,30,180,160,1080,20
386.0465116279,70,80,140,160,900,18
274.3362831858,100,90,140,160,420,18
305.7953144266,90,80,100,160,900,23
398.7117552335,80,90,140,180,840,18
223.667570009,100,90,180,200,660,22
245.0495049505,100,90,180,180,660,23
427.2569444444,60,80,140,160,900,22
191.9656786271,100,90,180,160,900,23
194.4532488114,90,90,180,160,600,20
263.6167922497,100,90,180,200,960,18
168.8320663442,100,80,140,160,600,22
219.9272065514,90,180,200,120,60,16
308.9743589744,70,40,140,200,1200,16
339.7454031117,70,90,140,160,900,22
477.3092369478,50,40,200,200,1140,16
212.5223613596,100,90,180,200,660,18
208.7873462214,100,90,120,160,900,22
313.606340819,90,90,200,160,960,18
259.409190372,80,80,140,200,840,22
214.4283121597,100,80,120,160,660,22
240.9183673469,100,200,200,200,660,1
590.9547738693,90,80,140,180,660,16
590.9547738693,90,80,200,200,660,16
590.9547738693,90,80,180,200,660,16
590.9547738693,90,80,140,200,660,16
236.3544813696,90,80,180,180,300,16
201.8932874355,70,30,140,200,1320,20
193.3444259567,70,30,140,200,1380,20
443.4034416826,90,90,40,200,720,18
171.1964549483,90,90,200,160,900,23
303.6697247706,70,90,120,200,840,22
428.7569573284,80,80,140,200,660,17
366.2957074722,80,80,80,160,900,22
234.1810783316,90,90,120,200,660,23
231.5524193548,80,80,140,160,960,20
157.9348579349,100,90,120,160,600,21
216.4448669202,90,80,180,200,300,16
456.4257028112,50,40,200,200,1200,16
245.1995685005,70,40,200,160,1020,16
172.319391635,80,90,200,160,900,22
237.1848739496,100,90,140,160,960,20
208.2179132041,100,180,200,120,60,16
201.1596788582,80,180,200,120,60,16
438.0116959064,100,90,140,160,840,17
437.4269005848,100,90,140,160,900,17
178.1847133758,90,90,200,200,660,21
244.8464912281,70,80,140,160,900,20
170.0076511094,100,40,200,200,1020,17
169.9692780338,80,80,140,200,660,23
299.72899729,80,90,200,160,900,18
260.2836879433,90,90,200,180,960,18
211.0896817744,100,80,120,160,960,20
207.8244274809,90,90,180,180,660,18
236.5217391304,80,90,140,200,660,22
279.7940797941,100,90,180,160,960,18
253.738317757,90,100,200,120,300,18
391.5162454874,70,90,140,160,900,18
246.803652968,70,90,120,160,960,20
291.4749661705,50,40,200,160,1020,16
243.2801822323,60,30,120,160,1380,20
533.0827067669,80,80,140,200,660,16
533.0827067669,80,80,140,160,660,16
533.0827067669,80,80,140,180,660,16
533.0827067669,80,80,200,180,660,16
208.7944664032,90,180,180,120,60,16
250.1187648456,70,90,120,200,960,22
276.5789473684,60,90,120,180,660,22
166.5341812401,100,90,200,200,660,22
344.6457990115,100,180,140,160,900,6
221.9978746015,70,90,140,200,660,21
214.8300720906,70,40,100,140,180,8
273.9473684211,100,80,120,80,960,23
236.3325740319,100,80,120,200,660,18
227.8270509978,100,90,140,160,360,18
238.0841121495,90,90,200,200,660,17
353.0329289428,50,90,140,160,840,20
265.8376963351,80,90,200,160,960,18
258.2375478927,60,90,200,160,960,20
154.9079754601,90,10,200,160,1380,17
323.2744783307,80,90,140,200,660,17
223.1964483907,80,80,140,160,720,20
268.090787717,100,80,200,140,540,16
221.6035634744,100,90,120,160,900,18
240.507859734,70,90,120,200,660,22
343.3506044905,50,90,140,160,900,20
405.7259713701,100,80,40,160,900,22
310.8320251177,80,80,80,160,900,18
171.3171577123,50,40,200,200,720,17
267.4796747967,50,40,200,160,1080,16
146.6914498141,80,80,140,200,600,20
221.3243546577,100,90,200,160,960,18
169.9567099567,50,40,200,200,660,17
150,70,30,140,200,840,22
269.2307692308,60,90,180,160,900,22
238.8753056235,70,80,120,160,900,22
142.8571428571,90,90,180,160,900,23
165.9846547315,90,90,180,200,660,18
187.2954764196,100,40,80,200,660,17
508.4432717678,80,90,40,180,660,18
224.8820754717,60,90,120,200,660,22
159.9496221662,90,90,120,160,900,22
199.6828752643,70,90,180,160,900,22
471.75,70,80,140,200,660,16
471.75,70,80,200,200,660,16
471.75,70,80,180,200,660,16
471.75,70,80,140,180,660,16
191.5564598169,100,190,200,180,360,10
151.1345218801,80,90,120,160,900,22
218.0751173709,70,90,120,200,660,18
297.5884244373,70,80,60,200,900,22
134.2585829072,90,90,200,160,960,22
325.7092198582,90,190,60,180,360,10
175.1191611058,90,80,140,200,660,18
167.8044280443,100,100,180,120,300,18
147.0779220779,60,40,200,200,660,17
340.4896421846,70,90,120,160,900,18
151.5993265993,100,90,180,200,1380,11
334.0782122905,90,80,200,140,540,16
134.0807174888,80,80,140,180,660,22
296.3636363636,50,90,140,160,900,22
322.7027027027,60,90,120,180,840,18
419.9530516432,80,90,40,200,660,18
142.8913738019,90,30,180,80,1080,17
198.7723214286,70,90,140,180,660,18
234.65085639,70,90,200,160,900,18
170.7692307692,70,80,180,180,300,16
205.6844547564,80,90,200,200,660,17
292.7272727273,60,80,120,160,900,22
163.9481000927,80,90,160,200,660,22
432.1078431373,90,80,140,120,960,16
294.3238731219,70,80,60,160,900,22
123.9436619718,80,90,140,160,960,22
469.3548387097,80,80,80,180,660,16
152.8483786153,70,180,200,120,60,16
188.2224645583,70,90,120,160,900,22
439.7435897436,90,90,40,180,960,18
274.7993579454,70,180,140,160,900,6
239.4405594406,50,200,200,200,660,1
333.7231968811,90,90,180,40,780,18
292.082616179,80,80,120,80,960,23
323.9005736138,80,80,140,60,960,20
255.7926829268,70,80,60,160,900,18
184.6836847947,100,90,180,200,660,16
156.2085308057,70,90,200,160,900,22
156.2737642586,90,80,60,200,60,5
185.8437146093,60,90,120,160,900,22
123.5870384326,100,90,140,160,960,22
262.8019323672,90,90,40,200,660,18
162.5630676085,90,90,100,160,900,22
111.8915159944,100,90,180,180,540,18
330.2469135802,90,190,100,40,720,7
132.8607172644,50,40,200,160,1380,20
427.8378378378,90,90,40,160,960,19
390.1234567901,80,190,100,40,720,7
390.1234567901,80,190,40,100,720,10
130.6545153273,80,40,80,200,660,17
275.2196836555,70,180,140,120,480,5
147.0754716981,100,80,100,200,660,18
142.3217550274,50,200,160,160,60,17
227.8592375367,100,90,140,160,300,17
127.027027027,80,90,200,180,660,18
127.027027027,80,90,180,200,660,18
392.6582278481,80,80,200,80,840,16
114.3805309735,50,40,200,160,960,20
150.1937984496,80,40,140,160,1020,16
306.9444444444,90,80,40,160,900,22
282.6325411335,50,90,120,160,900,22
264.2123287671,80,190,60,180,360,10
123.0830670927,70,190,160,160,240,1
216.5021156559,50,80,180,160,900,22
234.7626339969,100,90,180,40,780,18
281.1009174312,80,80,200,140,540,16
316.5289256198,90,190,100,40,780,7
122.4,80,80,160,160,1020,22
135.8860195904,70,200,200,200,660,1
188.8059701493,100,90,140,200,420,17
476.3406940063,100,80,100,80,1080,17
217.9970972424,70,180,200,100,720,4
365.7568238213,70,190,100,40,780,7
128.5338015803,100,80,60,160,600,22
108.711839166,90,80,180,160,1200,20
115.0512214342,100,40,140,160,1080,16
146.6800804829,50,40,200,200,660,16
107.3746312684,50,40,200,200,660,18
194.8993288591,80,190,100,160,420,7
198.3584131327,50,90,140,200,900,22
163.0508474576,100,200,140,180,660,2
261.8181818182,100,190,60,180,360,10
338.7706855792,80,190,100,40,780,7
338.7706855792,80,190,100,40,780,2
232.5163398693,70,190,60,180,360,10
226.5923566879,60,180,140,160,900,6
379.9465240642,90,80,180,80,960,16
266.5413533835,60,90,120,160,900,18
292.3553719008,90,90,40,200,660,17
154.0894220284,80,90,200,140,540,16
258.4870848708,100,90,140,160,1380,20
155.1495016611,60,90,120,200,660,18
144.4214876033,90,90,200,200,660,16
648.8372093023,70,190,140,40,720,7
287.0103092784,90,90,40,160,900,18
266.9230769231,80,90,40,80,660,18
343.3168316832,50,80,120,200,660,16
171.9602977668,100,180,200,80,540,6
615.1111111111,100,200,200,200,540,23
182.9139072848,100,70,160,160,1200,16
182.2985468956,100,180,140,180,660,5
109.7444089457,60,80,60,200,60,5
175.2880921895,70,130,20,80,1260,6
159.9062133646,90,90,200,80,960,20
124.7252747253,80,80,140,200,660,18
100.2209131075,70,80,140,200,660,22
153.4619750284,80,80,80,200,660,18
222.6072607261,70,90,120,180,660,16
138.3350462487,100,90,180,40,780,1
159.5719381688,100,180,140,120,480,5
310.2325581395,50,200,80,200,660,1
172.7626459144,50,80,200,160,900,22
220.8955223881,100,90,160,160,1380,20
339.7932816537,80,90,40,160,900,18
107.9142621599,50,200,160,180,60,17
139.7435897436,70,90,120,120,60,16
105.501618123,70,30,140,180,840,18
199.3874425727,70,90,120,200,660,16
148.6766398159,90,200,120,200,660,1
88.8965517241,100,80,120,180,540,21
135.7293868922,70,190,140,200,360,5
209.3137254902,90,90,40,200,660,16
117.6199261993,70,180,180,180,360,4
123.666343356,100,200,140,200,660,1
211.9800332779,80,180,200,80,720,10
144.9771689498,100,90,20,160,840,20
112.9893238434,70,90,120,180,960,22
117.9271708683,60,190,140,200,300,3
270.8154506438,60,200,80,200,660,1
107.7844311377,60,180,200,120,60,16
127.2543059777,70,100,200,120,300,18
180.7194244604,90,180,200,100,720,6
170.612244898,50,200,200,200,1020,1
144.5727482679,100,70,160,200,1200,16
174.3016759777,70,200,140,180,660,2
184.6953937593,50,80,120,160,900,22
146.39905549,100,90,140,160,1380,22
181.3782991202,80,80,140,80,960,23
178.0346820809,100,90,180,160,1380,20
296.6019417476,70,200,80,200,660,1
114.3932267168,100,80,120,200,1200,19
174.212034384,60,80,60,160,900,18
100.4149377593,80,80,140,120,60,16
151.0611735331,60,80,120,160,900,18
260.1731601732,80,80,140,200,1260,16
96.6908797417,90,90,140,160,300,18
431.7689530686,70,190,140,40,780,7
244.5807770961,70,200,180,20,1020,1
112.3120300752,100,190,60,60,240,1
441.8518518519,70,80,120,80,840,16
173.2168850073,80,180,200,160,120,16
224.9527410208,80,90,40,80,720,18
148.8050314465,100,180,140,200,660,1
148.9226869455,80,180,200,160,900,11
157.7956989247,100,90,200,160,1380,20
82.5284090909,100,90,180,160,360,18
403.125,100,180,140,160,900,22
233.6693548387,100,80,100,160,1080,16
117.6229508197,100,80,20,180,1020,23
117.6229508197,100,80,180,20,1020,23
80.2382620883,50,190,180,200,300,3
189.238410596,70,80,120,80,960,23
190.9698996656,70,80,60,180,840,18
277.6155717762,80,80,200,80,960,16
82.6086956522,70,30,140,180,1380,10
428.5714285714,70,190,200,40,720,7
428.5714285714,70,190,100,80,720,10
96.5106382979,100,90,140,160,360,22
103.9449541284,80,180,140,120,60,16
205.8181818182,100,200,80,200,660,1
111.3300492611,90,190,60,60,240,1
150.1329787234,80,90,40,140,540,5
320.5128205128,70,200,60,200,660,1
109.5609756098,70,80,140,180,660,18
219.3359375,100,190,100,40,720,7
219.3359375,100,190,40,100,720,10
194.2906574394,60,190,120,100,420,10
269.0647482014,60,190,40,100,720,10
215.2215799615,80,80,40,160,900,22
212.6213592233,70,180,40,200,360,5
190.6360424028,80,90,140,160,1380,20
115.2777777778,50,40,200,180,660,15
348.5436893204,70,190,160,40,780,7
293.4426229508,70,200,80,160,660,1
84.4217151849,70,30,140,200,1200,16
153.7356321839,70,190,80,40,780,7
84.5727848101,70,180,200,180,360,4
112.671594509,70,180,180,200,660,1
110.2378490176,70,180,140,120,60,16
166.9278996865,70,200,200,160,1020,9
185.6392294221,100,200,140,20,1020,1
373.851590106,90,190,200,200,420,18
239.8169336384,80,190,160,40,780,7
95.4128440367,80,80,140,180,300,16
100.0962463908,70,200,80,200,300,1
446.9827586207,80,80,140,200,300,15
237.299771167,100,190,160,40,780,7
119.2174913694,100,90,140,40,780,7
132.6923076923,70,80,140,160,420,16
140.4632152589,100,90,40,160,900,20
584.6590909091,50,200,80,80,780,1
100,60,90,120,120,780,11
98.8439306358,80,80,140,160,1200,20
113.0242825607,100,130,20,80,1260,6
85.3801169591,70,90,120,160,900,5
134.255599473,90,90,200,160,1380,20
156.4142194745,90,90,40,80,720,17
101.9153225806,80,190,100,180,360,10
101.9153225806,80,190,100,180,360,7
71.7530163236,50,200,180,180,60,17
160.5723370429,80,90,160,160,1380,20
175,80,190,140,180,660,11
108.3961248654,70,90,120,200,1020,21
360.071942446,70,200,200,40,780,7
383.8461538462,80,190,60,60,960,20
130.4749340369,70,180,200,120,480,5
139.5744680851,80,180,120,180,660,11
69.6453900709,90,80,200,100,720,4
95.5209347614,80,200,100,20,1020,1
219.4630872483,90,200,60,200,660,1
331.4189189189,70,190,120,80,720,10
134.478021978,100,90,180,180,1020,17
153.2182103611,100,180,140,80,720,10
173.3096085409,50,40,200,60,720,15
157.6051779935,100,100,40,120,300,18
134.6260387812,100,90,180,160,1080,16
88.267644363,100,90,140,200,1380,22
98.6666666667,70,200,200,160,660,1
63.9519359146,90,90,120,120,780,11
77.5080906149,80,80,160,200,660,18
204.0598290598,80,190,40,180,660,11
240.3022670025,70,200,80,180,660,1
105.1819184123,100,80,20,160,1020,23
65.8350658351,50,40,200,200,660,1
70.1702442635,90,90,140,160,360,21
248.8188976378,70,200,80,160,720,1
98.4358706986,80,90,40,180,900,1
